filename,label
X00016469670_auth.jpg,authentic
X00016469670_tamp.jpg,tampered
X00016469671_auth.jpg,authentic
X00016469671_tamp.jpg,tampered
X51005200931_auth.jpg,authentic
X51005200931_tamp.jpg,tampered
X51005230605_auth.jpg,authentic
X51005230605_tamp.jpg,tampered
X51005230616_auth.jpg,authentic
X51005230616_tamp.jpg,tampered
X51005230621_auth.jpg,authentic
X51005230621_tamp.jpg,tampered
X51005230648_auth.jpg,authentic
X51005230648_tamp.jpg,tampered
X51005230657_auth.jpg,authentic
X51005230657_tamp.jpg,tampered
X51005230659_auth.jpg,authentic
X51005230659_tamp.jpg,tampered
X51005268275_auth.jpg,authentic
X51005268275_tamp.jpg,tampered
X51005268408_auth.jpg,authentic
X51005268408_tamp.jpg,tampered
X51005301666_auth.jpg,authentic
X51005301666_tamp.jpg,tampered
X51005337867_auth.jpg,authentic
X51005337867_tamp.jpg,tampered
X51005337877_auth.jpg,authentic
X51005337877_tamp.jpg,tampered
X51005361906_auth.jpg,authentic
X51005361906_tamp.jpg,tampered
X51005361908_auth.jpg,authentic
X51005361908_tamp.jpg,tampered
X51005361912_auth.jpg,authentic
X51005361912_tamp.jpg,tampered
X51005361923_auth.jpg,authentic
X51005361923_tamp.jpg,tampered
X51005365187_auth.jpg,authentic
X51005365187_tamp.jpg,tampered
X51005433518_auth.jpg,authentic
X51005433518_tamp.jpg,tampered
X51005433543_auth.jpg,authentic
X51005433543_tamp.jpg,tampered
X51005433556_auth.jpg,authentic
X51005433556_tamp.jpg,tampered
X51005442322_auth.jpg,authentic
X51005442322_tamp.jpg,tampered
X51005442334_auth.jpg,authentic
X51005442334_tamp.jpg,tampered
X51005442343_auth.jpg,authentic
X51005442343_tamp.jpg,tampered
X51005442366_auth.jpg,authentic
X51005442366_tamp.jpg,tampered
X51005442375_auth.jpg,authentic
X51005442375_tamp.jpg,tampered
X51005442382_auth.jpg,authentic
X51005442382_tamp.jpg,tampered
X51005442388_auth.jpg,authentic
X51005442388_tamp.jpg,tampered
X51005444040_auth.jpg,authentic
X51005444040_tamp.jpg,tampered
X51005444041_auth.jpg,authentic
X51005444041_tamp.jpg,tampered
X51005444044_auth.jpg,authentic
X51005444044_tamp.jpg,tampered
X51005444046_auth.jpg,authentic
X51005444046_tamp.jpg,tampered
X51005447841_auth.jpg,authentic
X51005447841_tamp.jpg,tampered
X51005447842_auth.jpg,authentic
X51005447842_tamp.jpg,tampered
X51005447844_auth.jpg,authentic
X51005447844_tamp.jpg,tampered
X51005447851_auth.jpg,authentic
X51005447851_tamp.jpg,tampered
X51005447859_auth.jpg,authentic
X51005447859_tamp.jpg,tampered
X51005568855_auth.jpg,authentic
X51005568855_tamp.jpg,tampered
X51005568866_auth.jpg,authentic
X51005568866_tamp.jpg,tampered
X51005568885_auth.jpg,authentic
X51005568885_tamp.jpg,tampered
X51005568887_auth.jpg,authentic
X51005568887_tamp.jpg,tampered
X51005568889_auth.jpg,authentic
X51005568889_tamp.jpg,tampered
X51005568890_auth.jpg,authentic
X51005568890_tamp.jpg,tampered
X51005568892_auth.jpg,authentic
X51005568892_tamp.jpg,tampered
X51005568894_auth.jpg,authentic
X51005568894_tamp.jpg,tampered
X51005568895_auth.jpg,authentic
X51005568895_tamp.jpg,tampered
X51005577191_auth.jpg,authentic
X51005577191_tamp.jpg,tampered
